"","samples","mean","upper","lower","sv","rel","der","cum","sector"
"44",7,0.0398707488036955,0.0418251758500428,0.0379358289470518,"sites",55.768804628435,4.916,44,"I"
"45",8,0.0376023294877149,0.0395408630251513,0.0354546136316446,"sites",52.5958761672428,3.173,47,"I"
"46",9,0.0355731677517559,0.0374911505705668,0.0329573149018665,"sites",49.7576068142052,2.838,50,"I"
"47",10,0.0338003765121012,0.0356286225432931,0.0312482670546683,"sites",47.2779330870304,2.48,53,"I"
"48",11,0.0321260306937423,0.0335750709327376,0.0304179119002332,"sites",44.9359588922584,2.342,55,"I"
"49",12,0.0307380240695684,0.0320476700090089,0.0291969258067109,"sites",42.9944987348973,1.941,57,"I"
"50",13,0.0296392873818559,0.0313431952856665,0.0281062558547346,"sites",41.4576519609172,1.537,59,"I"
"51",14,0.028564261476837,0.0298927455308352,0.0269830371916084,"sites",39.9539704032247,1.504,60,"I"
"52",15,0.0276388513405274,0.0287789367178391,0.0258847449735074,"sites",38.6595623812655,1.294,61,"I"
"53",16,0.0268072679385968,0.027908162477104,0.0253203525386237,"sites",37.49639355033,1.163,63,"I"
"54",17,0.0260004933039584,0.0272132905239593,0.0244778639225024,"sites",36.3679257304792,1.128,64,"I"
"55",18,0.0252784385357224,0.0266633812826751,0.0235359135988693,"sites",35.3579589626353,1.01,65,"I"
"56",19,0.0246074395728012,0.025529220759046,0.0232878036224951,"sites",34.4194059835257,0.939,66,"I"
"57",20,0.0239530459499055,0.0249026131020521,0.022503312091039,"sites",33.5040795549943,0.915,66,"I"
"58",2,0.259136539131611,0.261838475849602,0.256338367923038,"samples",100,NA,NA,"I"
"59",3,0.211802060001526,0.21376877340329,0.209366001284909,"samples",81.7337688892863,18.266,18,"I"
"60",4,0.183446691939147,0.185395574014905,0.181915616442751,"samples",70.791518847127,10.942,29,"I"
"61",5,0.164319115509236,0.165888246575229,0.163074729610814,"samples",63.4102454481655,7.381,37,"I"
"62",6,0.149800485953908,0.150780206268989,0.148748434663075,"samples",57.8075505893155,5.603,42,"I"
"63",7,0.13883805491493,0.140104079410288,0.137932068384508,"samples",53.5771818903609,4.23,46,"I"
"64",8,0.129752846293366,0.130951835377308,0.128680107279526,"samples",50.0712275961465,3.506,50,"I"
"65",9,0.122357026300196,0.123144949510639,0.121422738071189,"samples",47.217203220443,2.854,53,"I"
"66",10,0.116150967549606,0.117325345852687,0.115210668988239,"samples",44.822304079092,2.395,55,"I"
"67",11,0.110753436790121,0.111787130382363,0.110041609250908,"samples",42.7394134232344,2.083,57,"I"
"68",12,0.105974797647648,0.106899015995625,0.105225648327646,"samples",40.8953511545608,1.844,59,"I"
"69",13,0.101900056043945,0.10268768121071,0.101154456382247,"samples",39.3229207989814,1.572,61,"I"
"70",14,0.0981214720923463,0.0989353863940952,0.0973967139843041,"samples",37.8647767779719,1.458,62,"I"
"71",15,0.094778205699753,0.0955424751382601,0.0941276623354984,"samples",36.5746204751221,1.29,63,"I"
"72",16,0.0918202282382143,0.0925992753772935,0.0912830589920733,"samples",35.4331459955094,1.141,65,"I"
"73",17,0.0890567632699361,0.089722117622536,0.0884957824449957,"samples",34.3667332937196,1.066,66,"I"
"74",18,0.0865562041816189,0.0872593612484212,0.0859396869087483,"samples",33.401775169058,0.965,67,"I"
"75",19,0.0842742434246884,0.0849371572937598,0.0836729452456756,"samples",32.5211734736825,0.881,67,"I"
"76",20,0.0821094502269312,0.0827674349600659,0.081592409171395,"samples",31.6857863819927,0.835,68,"I"
"77",2,0.0977181366879363,0.102622475285805,0.091425259092667,"sites",100,NA,NA,"M"
"78",3,0.0812837658207129,0.0862243178077601,0.0770257133587654,"sites",83.1818622169325,16.818,17,"M"
"79",4,0.070880740456111,0.0745310762521192,0.0678133323149059,"sites",72.5359107925576,10.646,27,"M"
"80",5,0.0633384965427159,0.0669795019757902,0.0594764419119579,"sites",64.8175443060155,7.718,35,"M"
"81",6,0.0579424231324855,0.061152011120053,0.0554983133717893,"sites",59.2954645845583,5.522,41,"M"
"82",7,0.0538628720739079,0.0565190603588739,0.0516138427982322,"sites",55.1206499627796,4.175,45,"M"
"83",8,0.0504033628485511,0.0526891630481321,0.048054578369805,"sites",51.580356069943,3.54,48,"M"
"84",9,0.0477432632585075,0.0501457208062257,0.0461093727361993,"sites",48.8581392121465,2.722,51,"M"
"85",10,0.045082683253305,0.0472928139709287,0.0434236733271613,"sites",46.1354307207852,2.723,54,"M"
"86",11,0.0431588984564941,0.045221413081378,0.0414834681047078,"sites",44.1667226978779,1.969,56,"M"
"87",12,0.0412029900822219,0.043376262564341,0.0397052702763804,"sites",42.1651409643678,2.002,58,"M"
"88",13,0.0397953230787898,0.0416883363018511,0.0383201499879315,"sites",40.7246028502124,1.441,59,"M"
"89",14,0.0381861246666722,0.039701546361515,0.0368646974300755,"sites",39.077827270305,1.647,61,"M"
"90",15,0.0369702573662514,0.0383500903922875,0.0355286570260401,"sites",37.8335676664775,1.244,62,"M"
"91",16,0.0359141643371624,0.0375110881384082,0.0349117406631732,"sites",36.7528133000065,1.081,63,"M"
"92",17,0.0347442618963504,0.036155112079581,0.0332410147194774,"sites",35.5555919033807,1.197,64,"M"
"93",18,0.0337801458457744,0.0354880365232435,0.0326738275863711,"sites",34.5689623141828,0.987,65,"M"
"94",19,0.0329036112648122,0.0347129624282537,0.0317860197054701,"sites",33.6719593517119,0.897,66,"M"
"95",20,0.0321057511438647,0.0336217184202552,0.0309876229933539,"sites",32.8554680144942,0.816,67,"M"
"96",2,0.244132574857611,0.248365157505699,0.239073342578667,"samples",100,NA,NA,"M"
"97",3,0.199625099307607,0.202009238808447,0.195929241959792,"samples",81.7691368814824,18.231,18,"M"
"98",4,0.173124156727012,0.174690230427984,0.170744732716689,"samples",70.9139928696468,10.855,29,"M"
"99",5,0.154896502468053,0.156583087155305,0.152394019655297,"samples",63.4476994962248,7.466,37,"M"
"100",6,0.141302472425437,0.142886236498726,0.138721667804341,"samples",57.8794011851349,5.568,42,"M"
"101",7,0.130974874224709,0.13228051571218,0.129011782353659,"samples",53.6490774740321,4.23,46,"M"
"102",8,0.122477391548208,0.123702514499842,0.120419876683408,"samples",50.1683937998205,3.481,50,"M"
